"Neuroepithelial cells","Radial glia","Intermediate progenitors","Mature neurons","Excitatory neurons","Inhibitory neurons","Astrocytes","Microglia","Oligodendrocytes","OPCs","Endothelial","Dividing"
NA,"Tspan12",NA,"4930551e15Rik","Zdhhc23",NA,"Hsd11b1",NA,NA,NA,NA,NA
NA,"Ttyh1",NA,"Serpini1","Atp6ap1l",NA,"Hsdl2",NA,NA,NA,NA,NA
NA,"Veph1",NA,"Camkv","Inhba",NA,"Htra1",NA,NA,NA,NA,NA
NA,"Vim",NA,"Fxyd7","Pxdn",NA,"Igdcc4",NA,NA,NA,NA,NA
NA,"Zfp36l1",NA,"Cdk5r1","Grm3",NA,"Il33",NA,NA,NA,NA,NA
NA,NA,NA,"Sema3c","Evc2",NA,"Isoc2a",NA,NA,NA,NA,NA
NA,NA,NA,"B230310j22Rik","Fezf2",NA,"Ivd",NA,NA,NA,NA,NA
NA,NA,NA,"Bc026657","Anxa11",NA,"Kcng4",NA,NA,NA,NA,NA
NA,NA,NA,"Slc4a10","Epha4",NA,"Kifc5b",NA,NA,NA,NA,NA
NA,NA,NA,"Pnma2","Slc39a10",NA,"L2hgdh",NA,NA,NA,NA,NA
NA,NA,NA,"Zfp804a","Pdia5",NA,"Lgi4",NA,NA,NA,NA,NA
NA,NA,NA,"Nptxr","Mmp17",NA,"Lgr4",NA,NA,NA,NA,NA
NA,NA,NA,"Scn2b","Smad3",NA,"Lpcat3",NA,NA,NA,NA,NA
NA,NA,NA,"Trank1","Ybx2",NA,"Lrig1",NA,NA,NA,NA,NA
NA,NA,NA,"Ablim3","Itgb8",NA,"Lrp10",NA,NA,NA,NA,NA
NA,NA,NA,"1700021k10Rik","Afap1l1",NA,"Corin",NA,NA,NA,NA,NA
NA,NA,NA,"Gabpb2","Prex1",NA,"Carmil1",NA,NA,NA,NA,NA
NA,NA,NA,"Nrip3","Dpy19l1",NA,"Lrrc2",NA,NA,NA,NA,NA
NA,NA,NA,"Neurod1","Rnf39",NA,"Lrrc8a",NA,NA,NA,NA,NA
NA,NA,NA,"Tac1","Map3k5",NA,"Lsamp",NA,NA,NA,NA,NA
NA,NA,NA,"2310046a06Rik","Mov10",NA,"Luzp2",NA,NA,NA,NA,NA
NA,NA,NA,"Cntnap4","Trpc5",NA,"Lxn",NA,NA,NA,NA,NA
